2022-11-12 11:49:34,588 INFO    MainThread:83055 [wandb_setup.py:_flush():68] Configure stats pid to 83055
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_setup.py:_flush():68] Loading settings from /Users/arthur/.config/wandb/settings
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_setup.py:_flush():68] Loading settings from /Users/arthur/Documents/ETH/DS_Lab/mini-tumors/wandb/settings
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/Users/arthur/Documents/ETH/DS_Lab/mini-tumors/main.py'}
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_init.py:_log_setup():476] Logging user logs to /Users/arthur/Documents/ETH/DS_Lab/mini-tumors/wandb/run-20221112_114934-3b9atpk6/logs/debug.log
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/arthur/Documents/ETH/DS_Lab/mini-tumors/wandb/run-20221112_114934-3b9atpk6/logs/debug-internal.log
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_init.py:init():516] calling init triggers
2022-11-12 11:49:34,589 INFO    MainThread:83055 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-12 11:49:34,590 INFO    MainThread:83055 [wandb_init.py:init():569] starting backend
2022-11-12 11:49:34,590 INFO    MainThread:83055 [wandb_init.py:init():573] setting up manager
2022-11-12 11:49:34,600 INFO    MainThread:83055 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-11-12 11:49:34,603 INFO    MainThread:83055 [wandb_init.py:init():580] backend started and connected
2022-11-12 11:49:34,605 INFO    MainThread:83055 [wandb_init.py:init():658] updated telemetry
2022-11-12 11:49:34,619 INFO    MainThread:83055 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-12 11:49:35,214 INFO    MainThread:83055 [wandb_run.py:_on_init():2000] communicating current version
2022-11-12 11:49:35,583 INFO    MainThread:83055 [wandb_run.py:_on_init():2004] got version response 
2022-11-12 11:49:35,583 INFO    MainThread:83055 [wandb_init.py:init():728] starting run threads in backend
2022-11-12 11:49:35,679 INFO    MainThread:83055 [wandb_run.py:_console_start():1980] atexit reg
2022-11-12 11:49:35,679 INFO    MainThread:83055 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-12 11:49:35,680 INFO    MainThread:83055 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-12 11:49:35,680 INFO    MainThread:83055 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-12 11:49:35,680 INFO    MainThread:83055 [wandb_init.py:init():765] run started, returning control to user process
2022-11-12 11:50:15,327 WARNING MsgRouterThr:83055 [router.py:message_loop():77] message_loop has been closed
